Date,MSFT,F,JPM,GOOG,HPQ,C,HOG,VZ,AAPL,IBM,T,CSCO,BAC,INTC,AMD,SNE,NVDA,AMZN,MS,BK
01/02/2019,98.60206604,7.2842803,92.2640686,1045.849976,19.23360062,50.0312767,32.20248795,50.94753647,38.56256104,104.4588852,25.55978584,40.05723572,23.76737022,44.81959534,18.82999992,48.72000122,135.4665375,1539.130005,38.11323166,44.8850174
01/03/2019,94.9746933,7.173633099,90.95284271,1016.059998,18.58098221,49.12467194,31.31427002,51.12942505,34.72145081,102.3735199,25.59439468,38.60043716,23.38648415,42.35394669,17.04999924,47.02000046,127.2820511,1500.280029,37.43398285,43.99676132
01/04/2019,99.39189911,7.450251579,94.30587006,1070.709961,19.3175106,51.52670288,32.76943207,51.25675583,36.20367813,106.371994,26.25199318,40.33919525,24.35774422,44.9528656,19,49.20999908,135.4367065,1575.390015,38.9622879,45.27243805
01/07/2019,99.51866913,7.643884182,94.37142944,1068.390015,19.53194237,51.97533035,33.74269104,51.58415222,36.1231041,107.124527,26.72788239,40.61175537,24.33869934,45.16230774,20.56999969,49.72000122,142.6068115,1629.51001,39.34907532,45.16849899
01/08/2019,100.2402344,7.717648983,94.19347382,1076.280029,19.77434349,51.8351326,34.42302704,53.09384537,36.81171799,108.6477585,27.06533813,40.94071198,24.29109001,45.44791031,20.75,49.88999939,139.0565796,1656.579956,39.10379028,44.99839783
01/09/2019,101.6736221,8.040371895,94.03424072,1074.660034,19.77434349,52.69500351,34.47026443,52.42576981,37.43684387,109.4275131,26.47600365,40.7151413,24.52914619,45.7049408,20.19000053,49.93000031,141.7913666,1659.420044,39.37738037,45.13069916
01/10/2019,101.0203247,7.994267464,94.02487946,1070.329956,20.01674271,52.75107574,34.5836525,52.93119049,37.55650711,110.4248581,26.73988533,40.63995743,24.50057983,46.2285347,19.73999977,49.09999847,144.4267273,1656.219971,39.30190659,44.85665894
01/11/2019,100.2402344,8.132575989,93.57533264,1057.189941,19.73705101,52.9847374,34.53640747,53.31715012,37.18777084,110.1256714,27.15329933,40.87491989,24.78624344,46.58076859,20.27000046,48.97999954,148.0067749,1640.560059,39.37738037,45.43307877
01/14/2019,99.50891113,8.289327621,94.54000854,1044.689941,19.38277245,55.07833099,34.81043625,53.32633972,36.62857819,109.1555023,26.9333992,40.61175537,25.1099987,46.02861404,20.22999954,48.41999817,149.6078644,1617.209961,40.07549286,45.7543602
01/15/2019,102.3952103,8.151017189,95.23309326,1077.150024,19.5878849,57.36820602,34.94272614,53.39065933,37.37824249,110.3704681,26.91580391,41.3730545,25.28139687,46.26661301,20.37999916,49.84000015,149.0410309,1674.560059,40.45285034,46.6898613
01/16/2019,102.7559967,7.643884182,96.001091,1080.969971,19.62517357,58.12525558,35.02775955,52.45334625,37.83488083,110.2707214,26.88061905,41.31665802,27.09061432,45.81918335,19.72999954,49.61000061,148.0167542,1683.780029,41.97172928,47.6537056
01/17/2019,103.4775772,7.708427906,96.39447021,1089.900024,19.79298973,58.38696289,35.22618866,52.22360229,38.05953598,110.7875366,26.95098686,41.5516243,27.60480881,46.14285278,20.25,49.50999832,150.8808289,1693.219971,40.12266541,48.69314575
01/18/2019,105.027977,7.911281586,97.95858002,1098.26001,20.27779007,58.9944725,35.36793137,52.46252823,38.29394913,112.265419,27.23246193,42.32232285,27.89999771,46.82828903,20.77000046,50.18000031,156.0619812,1696.199951,41.21700287,49.76094055
01/22/2019,103.0485153,7.837516785,96.41320038,1070.52002,19.87689781,57.80748367,34.32853699,52.37063217,37.4344101,111.086731,26.89821053,42.08735275,27.70003319,45.95246124,19.76000023,48.47000122,147.9471283,1632.170044,40.00946045,49.6947937
01/23/2019,104.0528717,7.689987659,96.16969299,1075.569946,19.98877525,58.06917953,34.0639534,53.07822037,37.58580399,120.4890366,27.1708889,42.72645569,27.5381546,45.63830566,19.79999924,48.45999908,148.4642181,1640.02002,39.76417542,50.13892365
01/24/2019,103.5555725,7.92972374,96.22589111,1073.900024,20.29643631,58.6112709,34.48916245,52.44415665,37.28788757,120.1626282,26.91580391,42.8674469,27.6905098,47.37091827,20.85000038,48.36999893,156.9669342,1654.930054,39.66983795,50.7531395
01/25/2019,104.5014267,8.169458389,96.83467102,1090.98999,20.60409927,59.83564377,34.84823227,51.82846069,38.52349091,121.4682465,26.96858215,43.35617828,28.16662216,44.78151321,21.93000031,48.75999832,159.2641602,1670.569946,40.54719543,50.72463989
01/28/2019,102.4634705,7.985046387,97.29359436,1070.079956,20.49222565,59.67676163,34.5931015,50.60626602,38.16697693,121.7402649,26.97737885,42.99902725,28.21422958,44.46735764,20.18000031,48.83000183,137.2466583,1637.890015,40.23587799,50.76263428
01/29/2019,100.3767471,8.077253342,97.56522369,1060.619995,20.39899254,59.07859802,32.84502411,48.96135712,37.77138519,121.7946472,27.00376892,43.19639969,27.98569679,44.30552673,19.25,48.77999878,130.8721161,1593.880005,40.08493042,49.97422028
01/30/2019,103.7310944,8.171064377,97.79000092,1089.060059,20.69733238,60.02258301,34.47026443,49.62299347,40.35247803,121.8399887,25.83389473,43.90129852,27.68098831,45.25751495,23.09000015,49.20000076,136.6300812,1670.430054,40.65499496,49.89822388
01/31/2019,101.8296509,8.255496025,96.93769836,1116.369995,20.53884125,60.24689102,34.82933044,50.59707642,40.64306641,121.8762512,26.44082069,44.44642639,27.10965538,44.85766983,24.40999985,50.11999893,142.9548798,1718.72998,40.18943787,49.69874954
02/01/2019,100.2207336,8.180447578,97.29359436,1110.75,20.7532711,59.92687988,34.63090515,50.12841034,40.66260529,121.5861282,26.38804245,44.49341583,27.0239563,46.39037704,24.51000023,46.15000153,143.9294586,1626.22998,39.73339081,49.98371887
02/04/2019,103.1070251,8.161684036,97.64014435,1132.800049,21.02363777,60.29394913,34.55530548,49.65975189,41.81762314,122.5743942,26.04499817,44.50281143,27.50006485,46.85685349,24.12999916,46.29000092,148.3548431,1633.310059,40.34145355,49.75574493
02/05/2019,104.5501633,8.208589554,97.20930481,1145.98999,21.25671959,60.0586586,34.5931015,49.75164413,42.53310394,122.9008102,26.06258965,44.41822433,27.40484619,47.60891724,23.30999947,45.86000061,149.1205902,1658.810059,40.33195496,49.98371887
02/06/2019,103.3898087,8.180447578,97.16248322,1115.22998,21.50844383,60.13394547,34.39467621,49.43000793,42.5477562,123.5989609,26.00101662,44.62500381,27.35723686,47.80531693,23.26000023,44.22000122,152.153717,1640.26001,40.26544952,49.69874954
02/07/2019,102.6487274,7.795815945,95.88871002,1098.709961,21.31266022,59.1174469,33.63874054,49.22784805,41.74192429,122.168045,25.90426254,43.89190674,26.89064217,47.16343689,22.67000008,43.06000137,146.604599,1614.369995,39.4103508,49.49927139
02/08/2019,103.0387802,7.870865345,94.93338013,1095.060059,21.36859703,58.36446762,33.30802917,49.57704163,41.79097748,122.6450119,25.99222183,44.35243607,26.93825912,46.78981018,23.04999924,44.29000092,147.3504486,1588.219971,38.77378845,49.23329544
02/11/2019,102.6292191,7.814577579,94.48381805,1095.01001,21.31266022,57.98798752,33.7237854,49.6689415,41.55064011,122.9018555,26.13295746,44.71899033,27.05252647,46.72274399,22.95999908,44.59000015,145.6399536,1591,38.20372009,49.4042778
02/12/2019,104.2283936,7.936534405,96.09476471,1121.369995,21.76948929,58.98567581,33.99781418,50.00894547,41.90868759,124.7913742,26.22092056,45.01034927,27.3191452,47.91069412,22.81999969,44.27999878,150.3338318,1638.01001,39.09682083,50.19269562
02/13/2019,104.1503754,7.889627457,96.55368805,1120.160034,21.74152184,59.33392334,34.48916245,50.06408691,41.73456573,126.13974,26.24730682,44.64379883,27.3286705,48.35138321,22.85000038,45.06000137,152.0344086,1640,39.13481903,49.80323792
02/14/2019,104.2381439,7.899009705,95.92617798,1121.670044,21.65761375,58.7503624,34.65924454,49.65056229,41.88661575,125.1857834,26.20332718,45.48967743,27.03347969,48.67712021,23.12999916,45.11999893,153.6752625,1622.650024,38.68827057,49.17630386
02/15/2019,105.5252686,8.011583328,98.85772705,1113.650024,21.70422935,60.49160385,35.2450943,50.68896484,41.79342651,126.6075287,26.80145454,46.4577446,27.71907806,49.491436,23.68000031,45.79000092,156.4697418,1607.949951,39.89490891,50.33518219
02/19/2019,105.4765167,8.283640862,98.51116943,1118.560059,21.67625999,60.59513855,35.0655632,50.9462738,41.91849518,127.222084,26.94219017,46.66451645,27.73812103,49.24234772,23.95000076,46.22000122,155.7736053,1627.579956,40.05642319,50.33518219
02/20/2019,104.9281311,8.386833191,98.98884583,1113.800049,21.79746246,60.83985138,35.21674728,51.24033356,42.18825531,126.5800095,27.13570786,46.64571762,28.00473976,49.23276901,23.95000076,46.88000107,157.6730194,1622.099976,40.30344772,50.64864349
